M01AX OTHER ANTI-INFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS	GLUCOSAMINE
M01AX OTHER ANTI-INFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS	BENZYDAMINE
M01AX OTHER ANTI-INFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS	GLUCOSAMINOGLYCAN POLYSULFATE
M01AX OTHER ANTI-INFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS	PROQUAZONE
M01AX OTHER ANTI-INFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS	ORGOTEIN
M01AX OTHER ANTI-INFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS	NIMESULIDE
M01AX OTHER ANTI-INFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS	FEPRAZONE
M01AX OTHER ANTI-INFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS	DIACEREIN
M01AX OTHER ANTI-INFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS	MORNIFLUMATE
M01AX OTHER ANTI-INFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS	TENIDAP
M01AX OTHER ANTI-INFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS	OXACEPROL
M01AX OTHER ANTI-INFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS	CHONDROITIN SULFATE
M01AX OTHER ANTI-INFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS	PENTOSAN POLYSULFATE
M01AX OTHER ANTI-INFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS	AMINOPROPIONITRILE
M01AX OTHER ANTI-INFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS	GRAPIPRANT
H02AB GLUCOCORTICOIDS	BETAMETHASONE
H02AB GLUCOCORTICOIDS	DEXAMETHASONE
H02AB GLUCOCORTICOIDS	FLUOCORTOLONE
H02AB GLUCOCORTICOIDS	METHYLPREDNISOLONE
H02AB GLUCOCORTICOIDS	PARAMETHASONE
H02AB GLUCOCORTICOIDS	PREDNISOLONE
H02AB GLUCOCORTICOIDS	PREDNISONE
H02AB GLUCOCORTICOIDS	TRIAMCINOLONE
H02AB GLUCOCORTICOIDS	HYDROCORTISONE
H02AB GLUCOCORTICOIDS	CORTISONE
H02AB GLUCOCORTICOIDS	PREDNYLIDENE
H02AB GLUCOCORTICOIDS	RIMEXOLONE
H02AB GLUCOCORTICOIDS	DEFLAZACORT
H02AB GLUCOCORTICOIDS	CLOPREDNOL
H02AB GLUCOCORTICOIDS	MEPREDNISONE
H02AB GLUCOCORTICOIDS	CORTIVAZOL
H02AB GLUCOCORTICOIDS	FLUMETASONE
N02BA SALICYLIC ACID AND DERIVATIVES	ACETYLSALICYLIC ACID
N02BA SALICYLIC ACID AND DERIVATIVES	ALOXIPRIN
N02BA SALICYLIC ACID AND DERIVATIVES	CHOLINE SALICYLATE
N02BA SALICYLIC ACID AND DERIVATIVES	SODIUM SALICYLATE
N02BA SALICYLIC ACID AND DERIVATIVES	SALICYLAMIDE
N02BA SALICYLIC ACID AND DERIVATIVES	SALSALATE
N02BA SALICYLIC ACID AND DERIVATIVES	ETHENZAMIDE
N02BA SALICYLIC ACID AND DERIVATIVES	MORPHOLINE SALICYLATE
N02BA SALICYLIC ACID AND DERIVATIVES	DIPYROCETYL
N02BA SALICYLIC ACID AND DERIVATIVES	BENORILATE
N02BA SALICYLIC ACID AND DERIVATIVES	DIFLUNISAL
N02BA SALICYLIC ACID AND DERIVATIVES	POTASSIUM SALICYLATE
N02BA SALICYLIC ACID AND DERIVATIVES	GUACETISAL
N02BA SALICYLIC ACID AND DERIVATIVES	CARBASALATE CALCIUM
N02BA SALICYLIC ACID AND DERIVATIVES	IMIDAZOLE SALICYLATE
